year,product,sub_product,sub_prod_value,innovation,color,prod ms boulder,sub-prod ms/100,(sum check),wax_wane,sub_prod_indigenous_migrant
2020,drawing,specification,276,0.3,#8d1115,60,0.46,,N,-2
2020,image,diagram,110,0.7,#f6b5f3,110,0.1,,X,1
2020,image,rendered_drawing,143,0.3,#ef65ff,110,0.13,,X,-1
2020,image,rendering,296,0.9,#750071,110,0.27,,X,-1
2020,image,photograph,296,0.9,#e200df,110,0.27,,X,2
2020,image,moving_image,252,0.4,#ab1e7b,110,0.23,,X,2
2020,model,abstract,60,0.1,#99f5a0,60,0.1,,X,-1
2020,model,formal_study,42,0.2,#e3ffe9,60,0.07,,X,-2
2020,model,presentation,60,0.7,#00e50e,60,0.1,,X,-2
2020,model,physical_mockup,36,0.6,#009f1d,60,0.06,,X,-2
2020,model,digital_twin,401,0.9,#015900,60,0.67,,X,-1
2020,profession,master_builder,33,0.4,#f1bb93,25,0.13,,X,-2
2020,profession,academic_institutions,85,0.7,#f16e45,25,0.34,,X,-2
2020,profession,professional_bodies,133,0.9,#f33d0e,25,0.53,,X,-2
2020,text,treatise,15,0.2,#d9dff1,15,0.1,,N,-2
2020,text,monograph,45,0.7,#4258ad,15,0.3,,N,-1
2020,text,discursive_monologue,90,0.3,#322b83,15,0.6,3200,N,-2
